name,specialty,address,availability,tarif,convention
Dr Axel GIRARD,Chirurgien-dentiste,Unknown,Unknown,Unknown,Conventionné
Dr Kelly BISMUTH,Chirurgien-dentiste,"Clinique Dentaire Trocadéro
24 Rue Vineuse, 75116 Paris",Unknown,"Consultation
23 € à 100 €",Conventionné
Dr Julien Seveyrac,Chirurgien-dentiste,Unknown,Unknown,Unknown,Carte Vitale acceptée
Dr Anahita Borouchaki,Chirurgien-dentiste,"Cabinet dentaire Gambetta
Cabinet dentaire Gambetta 1er et 2ème étage
2 Place Gambetta, 75020 Paris",Unknown,Unknown,Conventionné
Dr Francois JUSSIAUX,Chirurgien-dentiste,Unknown,Unknown,Unknown,Cabinet Reine Blanche
Dr Camille Famery,Chirurgien-dentiste,Unknown,Unknown,"radiographie panoramique
20 €",Conventionné
Dr Audrey HEIMANN,Chirurgien-dentiste,Unknown,Unknown,"Consultation
23 €",Ce soignant ne permet pas la réservation en ligne pour les patients de moins de 6 ans
Dr Sarah AMZALLAG,Chirurgien-dentiste,"Le cabinet dentaire Mexico
Cabinet Dentaire Place de Mexico - Trocadéro
6 Place de Mexico, 75116 Paris",Unknown,"Consultation
23 €",Conventionné
Dr Stéphane BOTBOL,Chirurgien-dentiste,Unknown,Unknown,"Consultation dentaire
50 € à 100 €",Conventionné
Dr Charles LEVY,Chirurgien-dentiste,Unknown,Unknown,Unknown,Conventionné
Dr Benamar SEDDIKI,Chirurgien-dentiste,Unknown,Unknown,"Consultation dentaire
23 €",Conventionné
Dr Umberto RUSSO,Chirurgien-dentiste,"Clinique dentaire Sana Oris
13 Rue Jean Beausire, 75004 Paris",Unknown,"Première consultation
23 €",
Dr Alexandre Richard,Chirurgien-dentiste,Unknown,Unknown,"Consultation : entre 50 € et 100 € (30€ non pris en charge par la sécurité sociale)
50 € à 100 €","Carte Vitale acceptée
Tiers payant : Sécurité sociale"
Dr Béatrice MELKA COSCAS,Chirurgien-dentiste,"Centre médical Batignolles
56 Rue des Batignolles, 75017 Paris",Unknown,"Consultation
23 €",Conventionné
Dr Rodolphe Blanco,Chirurgien-dentiste,Unknown,Unknown,"Consultation
23 € à 70 €",Carte Vitale acceptée
Tom Kerleaux,Chirurgien-dentiste,Unknown,Unknown,"Consultation dentaire
23 €",Conventionné
Dr Marc CHOURAKI,Chirurgien-dentiste,Unknown,Unknown,Unknown,Conventionné
Hortense CANALES,Étudiant chirurgien-dentiste,Unknown,Unknown,Unknown,Parking Zenpark Eure
