name,specialty,address,availability,tarif,convention
Dr Elina Zuelgaray,Dermatologue et vénérologue,"DermoMedicalCenter Paris 3e
DermoMedicalCenter Paris 3e
35 Rue de Turbigo, 75003 Paris",Unknown,Unknown,Unknown
Dr Daphné THIOLY-BENSOUSSAN,Dermatologue et vénérologue,Unknown,Unknown,"Consultation vidéo
100 € à 140 €",Unknown
Dr Anne LETROSNE,Dermatologue et vénérologue,"Centre Médical Ramsay Santé Miromesnil
Centre Médical Ramsay Santé Miromesnil
6 Avenue César Caire, 75008 Paris",Unknown,Unknown,Unknown
Dr Gilles Battesti,Dermatologue et vénérologue,Unknown,Unknown,"Consultation (C) - remboursement par la Sécurité sociale 70% de 23 €
90 €",Unknown
Centre de santé APAS BTP Paris,Centre de santé,Unknown,Unknown,Unknown,Unknown
Dr Davide Brognoli,Dermatologue et vénérologue,"VIA SANA
27 Rue du Faubourg Montmartre, 75009 Paris",Unknown,"Consultation de suivi de dermatologie
100 €",Unknown
Dr Caroline DUMORTIER,Dermatologue et vénérologue,Unknown,Unknown,"Consultation
90 € à 120 €",Unknown
Dr Marie-Gabrielle Ferneiny,Dermatologue et vénérologue,Unknown,Unknown,"Consultation selon acte
85 € à 115 €",Unknown
Dr Yves Pierre,Dermatologue et vénérologue,Unknown,Unknown,"Première consultation dermatologique
75 € à 80 €",Unknown
Dr Robert Gabbai,Dermatologue et vénérologue,Unknown,Unknown,"Consultation de suivi de dermatologie
100 € à 150 €",Unknown
Dr Hélène Mascitti,Dermatologue et vénérologue,Unknown,Unknown,"Consultations
120 € à 170 €",Unknown
Centre de Santé Haussmann,Centre de santé,Unknown,Unknown,Unknown,Unknown
Dr Jannick CHAMBERLIN,Dermatologue et vénérologue,Unknown,Unknown,"Consultation
31 € à 80 €",Unknown
Dr Noel SCHARTZ,Dermatologue et vénérologue,Unknown,Unknown,"Consultation
120 € à 160 €",Unknown
Dr Maud BEZIER,Dermatologue et vénérologue,"Cabinet du docteur Maud Bézier
4 Rue Turgot, 75009 Paris",Unknown,"Première consultation
90 € à 100 €",Unknown
Dr Maëlle TERROM,Dermatologue et vénérologue,Unknown,Unknown,"Consultation (C) - remboursement par la Sécurité sociale 70% de 23 €
90 €",Unknown
Dr Pierre Schneider,Dermatologue et vénérologue,Unknown,Unknown,"Consultation vidéo
80 € à 100 €",Unknown
Dr Wiam Khamari,Dermatologue et vénérologue,Unknown,Unknown,"Consultation de dermatologie médicale
180 €",Unknown
Dr Nadine POMAREDE,Dermatologue et vénérologue,Unknown,Unknown,"Consultation vidéo
110 €",Unknown
