name,specialty,address,availability,tarif,convention
Pr Hassan HOSSEINI,Neurologue,"Cabinet médical
64 Rue de Monceau, 75008 Paris",Unknown,"Consultation
250 €",Conventionné secteur 2
Dr Raquel GUIMARÃES COSTA,Neurologue,"29 Avenue Georges Mandel, 75116 Paris",Unknown,"Consultation de Neurologie / Douleur
180 € à 210 €",Secteur 3 (non-conventionné)
Dr Ruben TAMAZYAN,Neurologue,"Clinique Alleray-Labrouste - Annexe Rosenwald
17 Bis Rue Rosenwald, 75015 Paris",Unknown,"Consultation Neurologie (tarif de base de la Sécurité sociale 50 et 68 €)
90 € à 150 €",Conventionné secteur 2 avec OPTAM
Dr Vlad-Ciprian BARLOG,Neurologue,"Centre Médical Innovation et Mémoire Sarah Benin
7 bis Rue le Sueur, 75116 Paris",Unknown,"Première consultation mémoire
150 €",Conventionné secteur 2
Dr Gayané MELIKSETYAN,Neurologue,"Cabinet Dr. MELIKSETYAN
8 Rue Cortambert, 75116 Paris",Unknown,"Première consultation
125 € à 155 €",Conventionné secteur 2
Bye Apnea Centre du sommeil,Pôle de santé,Unknown,Unknown,Unknown,Haussmann Berri
Dr Catherine Logak,Neurologue,Unknown,Unknown,"Consultation
47 € à 90 €",Conventionné secteur 1 avec droit permanent à dépassement
Dr Bassem CHAABAN,Neurologue,Unknown,Unknown,"Consultation
39 € à 62,50 €",Conventionné secteur 1
Dr Florence CHOCHON,Neurologue,"Cabinet Médical Sully - ORL
Cabinet médical SCM Sully
41 Boulevard Henri IV, 75004 Paris",Unknown,"Consultation
100 € à 110 €",Conventionné secteur 2
Dr Maelle DADE,Neurologue,"Centre médical Argentine
4 Rue Brunel, 75017 Paris",Unknown,Unknown,Ce soignant ne permet pas la réservation en ligne pour les patients de moins de 16 ans
Courcelles Médical - Centre médical et esthétique,Centre de santé,Unknown,Unknown,Unknown,Établissement conventionné
Dr Jerome MAWET,Neurologue,Unknown,Unknown,"Consultation migraine et céphalées
200 € à 250 €",Conventionné secteur 2
Service de Gériatrie à orientation psychiatrique - Hôpital Bretonneau - AP-HP,Hôpital public,Unknown,Unknown,Unknown,Conventionné secteur 1
Dr Phintip PICHIT,Neurologue,"Cabinet Médical Sully - ORL
Cabinet médical SCM Sully
41 Boulevard Henri IV, 75004 Paris",Unknown,"Consultation de neurologie
90 €",Conventionné secteur 2
Dr Fabrice MALTONTI,Neurologue,"Hôpital Privé des Peupliers (HPP) - Ramsay Santé
Centre de consultations - Hôpital Privé des Peupliers
8 Place de l'Abbé Georges Hénocque, 75013 Paris",Unknown,"Electromyogramme (EMG)
122,69 € à 199,94 €",Conventionné secteur 2
Dr Yacine FARHAT,Neurologue,Unknown,Unknown,"Électromyogramme
260 €",Conventionné secteur 2
Dr Jennifer ABOAB,Neurologue,Unknown,Unknown,"Première consultation
67,50 € à 100 €",Conventionné secteur 2 avec OPTAM
Dr Michael OBADIA,Neurologue,"Centre médical Argentine
4 Rue Brunel, 75017 Paris",Unknown,"Première consultation de neurologie
150 €",Conventionné secteur 2
Dr Pauline Olivieri,Neurologue,"95 Rue de l'Abbé Groult, 75015 Paris",Unknown,"Consultation de suivi
80 €",Conventionné secteur 2
