name,specialty,address,availability,tarif,convention
Centre de santé Marie-Thérèse - Paris 20e,Centre de santé,Unknown,Unknown,Unknown,Établissement conventionné
Centre Dentaire Paris 13 Nationale,Centre dentaire,Unknown,Unknown,"Consultation
23 €",Établissement conventionné
Centres médicaux et dentaires Jack Senet et Broca,Centre de santé,"Centre médical et dentaire Broca
94 Rue Broca, 75013 Paris",Unknown,Unknown,Établissement conventionné
Marguerite Baron,Pédiatre,Unknown,Unknown,"Consultation
70 €",Conventionné secteur 2
Dr Maissoun AL-REFAI,Pédiatre,Unknown,Unknown,"Consultation
32 € à 50 €",Conventionné secteur 1
Dr Stéphanie CHEN,Pédiatre,Cabinet de Pédiatrie Campo-Formio,Unknown,"Consultation
65 €",Conventionné secteur 2 avec OPTAM
Dr Muriel DUPUIS,Pédiatre,Unknown,Unknown,"Consultation 2-6 ans
35 €",Conventionné secteur 1
Dr Dalia REKLAITYTE,Pédiatre,Unknown,Unknown,"Consultation de pédiatrie
70 €",Conventionné secteur 2
Dr Domnica POP-JORA,Pédiatre,Cabinet de pédiatrie,Unknown,"Consultation de pédiatrie
75 €",Conventionné secteur 2
Dr Manuel Maidenberg,Pédiatre,Unknown,Unknown,"Consultation vidéo
90 €",Conventionné secteur 2
Dr Elsa Amouyal,Pédiatre,Unknown,Unknown,"Consultation de suivi pédiatrique
100 €",Conventionné secteur 2
Hôpital Robert-Debré - AP-HP,Hôpital public,"Hôpital Robert-Debré - AP-HP
48 Boulevard Sérurier, 75019 Paris",Unknown,Unknown,Unknown
Dr Marie Desmarest,Pédiatre,Unknown,Unknown,"Consultation enfant (plus de 2 ans)
60 €",Conventionné secteur 2
Dr Nayla Azzi,Pédiatre,Unknown,Unknown,"Consultation de pédiatrie
28 € à 60 €",Conventionné secteur 1
Dr Nicole NAOURI,Pédiatre,Cabinet de Pédiatrie Campo-Formio,Unknown,"Consultation
32 € à 70 €",Conventionné secteur 2
Centre Colliard,Centre de santé,Unknown,Unknown,Unknown,Établissement conventionné
Dr Bénédicte MICHAUD,Pédiatre,"40 Rue du Fer À Moulin, 75005 Paris",Unknown,"Consultation de pédiatrie
70 €",Conventionné secteur 2
Dr Erianna BELLATON,Pédiatre,Unknown,Unknown,"Consultation vidéo
42 € à 68 €",Conventionné secteur 2
Dr Naila BOURATBINE,Pédiatre,Unknown,Unknown,"Consultation de 0 à 2 ans
37 €",Conventionné secteur 1
