name,specialty,address,availability,tarif,convention
Céline Pétré,Psychologue,Unknown,Unknown,"Première consultation adulte
70 €",Consultation non remboursée par l'Assurance Maladie
Yaye Rosalie Fleury le Vesco,Psychothérapeute,"13 Rue du Baigneur, 75018 Paris",Unknown,"Consultation de psychothérapie
50 €",Consultation non remboursée par l'Assurance Maladie
Dr Ghislaine DE COULOMME,Psychologue,Unknown,Unknown,"Consultation
60 €",Consultation non remboursée par l'Assurance Maladie
Mohmed Surtee,Psychologue,Unknown,Unknown,"Première consultation de psychologie
80 €",Consultation non remboursée par l'Assurance Maladie
Joseph Assouline,Psychologue,Unknown,Unknown,"Consultation de psychologie
40 € à 90 €",Consultation non remboursée par l'Assurance Maladie
John Fernandes,Psychologue,"Cabinet de Psychologie de John A. Fernandes : individus-couples-familles (Paris)
30 Rue de la Victoire, 75009 Paris",Unknown,"Consultation au cabinet - première consultation psychologique en individuel (1h)
70 €",Consultation non remboursée par l'Assurance Maladie
Alyma Haddad,Psychologue,Unknown,Unknown,"Consultation
70 €",Consultation non remboursée par l'Assurance Maladie
Emilie BACHEROT,Psychologue,Unknown,Unknown,"Consultation
90 € à 120 €",Consultation non remboursée par l'Assurance Maladie
Bruno GAIE,Psychologue,Unknown,Unknown,"Consultation de suivi de psychologie
60 €",Consultation non remboursée par l'Assurance Maladie
Laure Djermag,Psychologue,Unknown,Unknown,"Consultation
50 € à 80 €",Consultation non remboursée par l'Assurance Maladie
Samuel ROUX,Psychologue,"63 Avenue Franklin Delano Roosevelt, 75008 Paris
63 Avenue Franklin Delano Roosevelt, 75008 Paris",Unknown,"Consultation de psychologie
100 € à 130 €",Consultation non remboursée par l'Assurance Maladie
Samuel ROUX,Psychologue,"7 Rue Sainte-Anne, 75001 Paris",Unknown,"Consultation de psychologie
100 € à 130 €",Consultation non remboursée par l'Assurance Maladie
Centre national de tests psychotechniques,Cabinet de psychologie,"CENTRE NATIONAL DE TESTS PSYCHOTECHNIQUES PARIS 10
32 Rue de Paradis, 75010 Paris",Unknown,Unknown,"10 Rue des Petites Écuries, Paris"
Dolores Fernandez,Psychologue,Unknown,Unknown,Unknown,Consultation non remboursée par l'Assurance Maladie
Brigitte Lalvée,Psychologue,Unknown,Unknown,"Consultation
40 € à 90 €",Consultation non remboursée par l'Assurance Maladie
Guita Elahi,Psychologue,Unknown,Unknown,"Consultation de 50 à 60 min
100 €",Consultation non remboursée par l'Assurance Maladie
Stéphane RENARD,Psychothérapeute,Unknown,Unknown,"Première consultation d'environ 45 minutes (tarification modulaire en fonction des revenus)
70 €",Consultation non remboursée par l'Assurance Maladie
Hanane Tahiri Bentahar,Psychologue,Unknown,Unknown,"Consultation de suivi de psychologie
65 €",Consultation non remboursée par l'Assurance Maladie
Mathilde CHARNY,Psychologue,"155 Boulevard Saint-Germain, 75006 Paris",Unknown,"Consultation de psychologie
50 € à 100 €",Consultation non remboursée par l'Assurance Maladie
Maria Espinoza godoy,Psychologue,Unknown,Unknown,"Consulta psicológica
65 €",Consultation non remboursée par l'Assurance Maladie
